Year,RECORD OF THE YEAR,ROY ARTIST,BEST NEW ARTIST,SONG OF THE YEAR,SOY ARTIST
2018,Redbone,Childish Gambino,Alessia Cara,Despacito,Luis Fonsi Daddy Yankee Justin Bieber
2018,Despacito,Luis Fonsi Daddy Yankee Justin Bieber,Khalid,4:44,JAY-Z
2018,The Story of O.J.,JAY-Z,Lil Uzi Vert,Issues,Julia Michaels
2018,Humble,Kendrick Lamar,Julia Michaels,1-800-273-8255,Logic Alessia Cara Khalid
2018,24k Magic,Bruno Mars,SZA,That's What I Like,Bruno Mars
2017,Hello,Adele,Kelsea Ballerini,Formation,Beyonce
2017,Formation,Beyonce,The Chainsmokers,Hello,Adele
2017,7 Years,Lukas Graham,Chance The Rapper,I Took A Pill In Ibiza,Mike Posner
2017,Work,Rihanna Drake,Maren Morris,Love Yourself,Justin Bieber
2017,Stressed Out,Twenty One Pilots,Anderson .Paak,7 Years,Lukas Graham
2016,Really Love,D'Angelo the Vanguard,Courtney Barnett,Alright,Kendrick Lamar
2016,Uptown Funk,Mark Ronson Bruno Mars,James Bay,Blank Space,Taylor Swift
2016,Thinking Out Loud,Ed Sheeran,Sam Hunt,Girl Crush,Little Big Town
2016,Blank Space,Taylor Swift,Tori Kelly,See You Again,Wiz Khalifa Charlie Puth
2016,Can't Feel My Face,the Weeknd,Meghan Trainor,Thinking Out Loud,Ed Sheeran
2015,Fancy,Iggy Azalea Charli XCX,Bastille,Chandelier,Sia
2015,Chandelier,Sia,Iggy Azalea,All About That Bass,Meghan Trainor
2015,Stay With Me (Darkchild Version),Sam Smith,Brandy Clark,Shake It Off,Taylor Swift
2015,Shake It Off,Taylor Swift,Haim,Stay With Me (Darkchild Version),Sam Smith
2015,All About That Bass,Meghan Trainor,Sam Smith,Take Me To Chursh,Hozier
2014,Get Lucky,Daft Punk Pharrell Williams,Macklemore & Ryan Lewis,Royals,Lorde
2014,Radioactive,Imagine Dragons,James Blake,Just Give Me a Reason,Pink Nate Ruess
2014,Royals,Lorde,Kendrick Lamar,Locked Out of Heaven,Bruno Mars
2014,Locked Out of Heaven,Bruno Mars,Kacey Musgraves,Roar,Katy Perry
2014,Blurred Lines,Robin Thicke T.I. Pharrell,,Same Love,Macklemore & Ryan Lewis Mary Lambert
2013,Lonely Boy,The Black Keys,Alabama Shakes,The A Team,Ed Sheeran
2013,Stronger (What Doesn't Kill You),Kelly Clarkson,Fun,Adorn,Miguel
2013,We Are Young,Fun Janelle Monae,Hunter Hayes,Call Me Maybe,Carly Rae Jepsen
2013,Somebody That I Used to Know,Gotye Kimbra,The Lumineers,Stronger (What Doesn_Ñét Kill You),Kelly Clarkson
2013,Thinkin Bout You,Frank Ocean,Frank Ocean,We Are Young,Fun Janelle Monae
2013,We Are Never Ever Getting Back Together,Taylor Swift,,,
2012,Rolling In The Deep,Adele,The Band Perry,All Of The Lights,Kanye West Rihanna Kid Cudi Fergie
2012,Holocene,Bon Iver,Bon Iver,The Cave,Mumford & Sons
2012,Grenade,Bruno Mars,J. Cole,Grenade,Bruno Mars
2012,The Cave,Mumford & Sons,Nicki Minaj,Holocene,Bon Iver
2012,Firework,Katy Perry,Skrillex,Rolling In The Deep,Adele
2011,Nothin' On You,B.o.B Bruno Mars,Justin Bieber,Beg Steal Or Borrow,Ray LaMontagne The Pariah Dogs
2011,Love The Way You Lie,Eminem Rihanna,Drake,_Ñ_You,Cee Lo Green
2011,_Ñ_ You,Cee Lo Green,Florence & The Machine,The House That Built Me,Miranda Lambert
2011,Empire State Of Mind,JAY-Z Alicia Keys,Mumford & Sons,Love The Way You Lie,Eminem Rihanna
2011,Need You Now,Lady Antebellum,Esperanza Spalding,Need You Now,Lady Antebellum
2010,Halo,Beyonce,Zac Brown Band,Poker Face,Lady Gaga
2010,I Gotta Feeling,The Black Eyed Peas,Keri Hilson,Pretty Wings,Maxwell
2010,Use Somebody,Kings of Leon,MGMT,Single Ladies (Put A Ring On It),Beyonce
2010,Poker Face,Lady Gaga,Silversun Pickups,Use Somebody,Kings of Leon
2010,You Belong With Me,Taylor Swift,The Ting Tings,You Belong With Me,Taylor Swift
2009,Chasing Pavements,Adele,Adele,American Boy,Estelle Kanye West
2009,Viva la Vida,Coldplay,Duffy,Chasing Pavements,Adele
2009,Bleeding Love,Leona Lewis,Jonas Brothers,I'm Yours,Jason Mraz
2009,Paper Planes,M.I.A.,Lady Antebellum,Love Song,Sara Bareilles
2009,Please Read the Letter,Robert Plant Alison Krauss,Jazmine Sullivan,Viva la Vida,Coldplay
2008,Irreplaceable,Beyonce,Feist,Before He Cheats,Carrie Underwood
2008,The Pretender,Foo Fighters,Ledisi,Hey There Delilah,Plain White Ts
2008,Umbrella,Rihanna JAY-Z,Paramore,Like A Star,Corinne Bailey Rae
2008,What Goes Around_Ñ_Comes Around,Justin Timberlake,Taylor Swift,Rehab,Amy Winehouse
2008,Rehab,Amy Winehouse,Amy Winehouse,Umbrella,Rihanna JAY-Z
