,RECORD OF THE YEAR,ARTIST,BEST NEW ARTIST,SONG OF THE YEAR,ARTIST,ALBUM OF THE YEAR
2018,Redbone,Childish Gambino,Alessia Cara,Despacito,Luis Fonsi Daddy Yankee Justin Bieber,"Awaken, My Love!"
,Despacito,Luis Fonsi Daddy Yankee Justin Bieber,Khalid,4:44,JAY-Z,4:44
,The Story of O.J.,JAY-Z,Lil Uzi Vert,Issues,Julia Michaels,Damn.
,Humble,Kendrick Lamar,Julia Michaels,1-800-273-8255,Logic Alessia Cara Khalid,Melodrama
,24k Magic,Bruno Mars,SZA,That's What I Like,Bruno Mars,24k Magic
2017,Hello,Adele,Kelsea Ballerini,Formation,Beyonce,25
,Formation,Beyonce,The Chainsmokers,Hello,Adele,Lemonade
,7 Years,Lukas Graham,Chance The Rapper,I Took A Pill In Ibiza,Mike Posner,Purpose
,Work,Rihanna Drake,Maren Morris,Love Yourself,Justin Bieber,Views
,Stressed Out,Twenty One Pilots,Anderson .Paak,7 Years,Lukas Graham,A Sailor's Guide To Earth
2016,Really Love,D'Angelo the Vanguard,Courtney Barnett,Alright,Kendrick Lamar,Sound & Color
,Uptown Funk,Mark Ronson Bruno Mars,James Bay,Blank Space,Taylor Swift,To Pimp a Butterfly
,Thinking Out Loud,Ed Sheeran,Sam Hunt,Girl Crush,Little Big Town,Traveller
,Blank Space,Taylor Swift,Tori Kelly,See You Again,Wiz Khalifa Charlie Puth,1989
,Can't Feel My Face,the Weeknd,Meghan Trainor,Thinking Out Loud,Ed Sheeran,Beauty Behind the Madness
2015,Fancy,Iggy Azalea Charli XCX,Bastille,Chandelier,Sia,Morning Phase
,Chandelier,Sia,Iggy Azalea,All About That Bass,Meghan Trainor,Beyonce
,Stay With Me (Darkchild Version),Sam Smith,Brandy Clark,Shake It Off,Taylor Swift,X
,Shake It Off,Taylor Swift,Haim,Stay With Me (Darkchild Version),Sam Smith,In The Lonely Hour
,All About That Bass,Meghan Trainor,Sam Smith,Take Me To Chursh,Hozier,Girl
2014,Get Lucky,Daft Punk Pharrell Williams,Macklemore & Ryan Lewis,Royals,Lorde,Random Access Memories
,Radioactive,Imagine Dragons,James Blake,Just Give Me a Reason,Pink Nate Ruess,The Blessed Unrest
,Royals,Lorde,Kendrick Lamar,Locked Out of Heaven,Bruno Mars,"Good Kid, M.A.A.D City"
,Locked Out of Heaven,Bruno Mars,Kacey Musgraves,Roar,Katy Perry,The Heist
,Blurred Lines,Robin Thicke T.I. Pharrell,,Same Love,Macklemore & Ryan Lewis Mary Lambert,Red
2013,Lonely Boy,The Black Keys,Alabama Shakes,The A Team,Ed Sheeran,El Camino
,Stronger (What Doesn't Kill You),Kelly Clarkson,Fun,Adorn,Miguel,Some Nights
,We Are Young,Fun Janelle Monae,Hunter Hayes,Call Me Maybe,Carly Rae Jepsen,Babel
,Somebody That I Used to Know,Gotye Kimbra,The Lumineers,Stronger (What Doesn’t Kill You),Kelly Clarkson,Channel Orange
,Thinkin Bout You,Frank Ocean,Frank Ocean,We Are Young,Fun Janelle Monae,Blunderbuss
,We Are Never Ever Getting Back Together,Taylor Swift,,,,
2012,Rolling In The Deep,Adele,The Band Perry,All Of The Lights,Kanye West Rihanna Kid Cudi Fergie,21
,Holocene,Bon Iver,Bon Iver,The Cave,Mumford & Sons,Wasting Light
,Grenade,Bruno Mars,J. Cole,Grenade,Bruno Mars,Born This Way
,The Cave,Mumford & Sons,Nicki Minaj,Holocene,Bon Iver,Doo-Wops & Hooligans
,Firework,Katy Perry,Skrillex,Rolling In The Deep,Adele,Loud
2011,Nothin' On You,B.o.B Bruno Mars,Justin Bieber,Beg Steal Or Borrow,Ray LaMontagne The Pariah Dogs,The Suburbs
,Love The Way You Lie,Eminem Rihanna,Drake,…You,Cee Lo Green,Recovery
,… You,Cee Lo Green,Florence & The Machine,The House That Built Me,Miranda Lambert,Need You Now
,Empire State Of Mind,JAY-Z Alicia Keys,Mumford & Sons,Love The Way You Lie,Eminem Rihanna,The Fame Monster
,Need You Now,Lady Antebellum,Esperanza Spalding,Need You Now,Lady Antebellum,Teenage Dream
2010,Halo,Beyonce,Zac Brown Band,Poker Face,Lady Gaga,I Am…Sasha Fierce
,I Gotta Feeling,The Black Eyed Peas,Keri Hilson,Pretty Wings,Maxwell,The E.N.D.
,Use Somebody,Kings of Leon,MGMT,Single Ladies (Put A Ring On It),Beyonce,The Fame
,Poker Face,Lady Gaga,Silversun Pickups,Use Somebody,Kings of Leon,Big Whiskey And The GrooGrux King
,You Belong With Me,Taylor Swift,The Ting Tings,You Belong With Me,Taylor Swift,Fearless
2009,Chasing Pavements,Adele,Adele,American Boy,Estelle Kanye West,Viva la Vida or Death and All His Friends
,Viva la Vida,Coldplay,Duffy,Chasing Pavements,Adele,Tha Carter III
,Bleeding Love,Leona Lewis,Jonas Brothers,I'm Yours,Jason Mraz,Year of the Gentleman
,Paper Planes,M.I.A.,Lady Antebellum,Love Song,Sara Bareilles,Raising Sand
,Please Read the Letter,Robert Plant Alison Krauss,Jazmine Sullivan,Viva la Vida,Coldplay,In Rainbows
2008,Irreplaceable,Beyonce,Feist,Before He Cheats,Carrie Underwood,"Echoes, Silence, Patience & Grace"
,The Pretender,Foo Fighters,Ledisi,Hey There Delilah,Plain White Ts,These Days
,Umbrella,Rihanna JAY-Z,Paramore,Like A Star,Corinne Bailey Rae,River: The Joni Letters
,What Goes Around…Comes Around,Justin Timberlake,Taylor Swift,Rehab,Amy Winehouse,Graduation
,Rehab,Amy Winehouse,Amy Winehouse,Umbrella,Rihanna JAY-Z,Back to Black
